chromosome	CDS_start	CDS_end	new_end	Filter
LG1A	91265631	91266676	25499731	Not Valid
LG16	13476621	13482348	13477150	PASS
LG14	18494903	18582107	18500000	PASS
LG3	451562	459059	453816	PASS
LG2	4092922	4095419	4093066	PASS
LG5	29142226	29170624	29142411	PASS
UN	91265631	91266676	18717750	Not Valid
UN	91265631	91266676	81767657	Not Valid
LG1A	91265631	91266676	27112924	Not Valid
UN	74881686	74883704	74882179	PASS
LG10	91265631	91266676	10284646	Not Valid
LGx	91265631	91266676	1292983	Not Valid
LG1B	91265631	91266676	8867252	Not Valid
LG19	3540234	3596562	3575223	PASS
LG17	16760372	16789940	16785464	PASS
UN	2538789	2647880	2602976	PASS
LG18-21	91265631	91266676	13510299	Not Valid
LG17	18445232	18450215	18448953	PASS
LG2	5278526	5315444	5313891	PASS
UN	91265631	91266676	35556252	Not Valid
LG7	91265631	91266676	9569055	Not Valid
UN	91265631	91266676	27448862	Not Valid
LG10	91265631	91266676	7612661	Not Valid
UN	34271561	34275009	34272232	PASS
UN	91265631	91266676	29663969	Not Valid
LG2	10946825	10955930	10948266	PASS
LG17	3525764	3539718	3526207	PASS
LG19	15703325	15773545	15738909	PASS
UN	91265631	91266676	9750250	Not Valid
UN	25320840	25338971	25321586	PASS
LG2	91265631	91266676	11668852	Not Valid
UN	91265631	91266676	31401628	Not Valid
UN	91265631	91266676	9307571	Not Valid
LG2	3086421	3092211	3091933	PASS
LG8	91265631	91266676	19882497	Not Valid
UN	96645624	96671583	96662271	PASS
LG22-25	3225992	3234677	3226125	PASS
LG7	16141853	16143149	16142940	PASS
LG4	8956902	8976328	8964941	PASS
LG7	91265631	91266676	25865487	Not Valid
LG17	91265631	91266676	21733484	Not Valid
LGx	8003661	8030272	8030258	PASS
LG16	91265631	91266676	5802359	Not Valid
LGx	91265631	91266676	17324039	Not Valid
LG8	11097325	11099078	11098784	PASS
LGx	13355992	13556297	13356379	PASS
UN	91265631	91266676	36656577	Not Valid
UN	91265631	91266676	76773073	Not Valid
LG7	91265631	91266676	10316923	Not Valid
UN	91265631	91266676	4212733	Not Valid
LG13	25250977	25276963	25251919	PASS
LG10	4728274	4790146	4784955	PASS
UN	91265631	91266676	42766096	Not Valid
UN	91265631	91266676	44430318	Not Valid
LG1A	91265631	91266676	16226920	Not Valid
LG5	28157850	28158949	28158479	PASS
UN	91265631	91266676	93829771	Not Valid
LG22-25	8053968	8065397	8064755	PASS
UN	91265631	91266676	86092302	Not Valid
LG11	91265631	91266676	6509074	Not Valid
UN	55870559	56098613	55964955	PASS
LG2	6661859	6697797	6693030	PASS
UN	91265631	91266676	73455758	Not Valid
LG4	91265631	91266676	22692911	Not Valid
UN	91265631	91266676	1092658	Not Valid
UN	86954693	86958088	86955558	PASS
LG10	12548522	12568531	12567113	PASS
LG7	9460361	9474599	9471353	PASS
LG22-25	91265631	91266676	13824186	Not Valid
LG19	785212	790252	789825	PASS
LG1A	91265631	91266676	2887403	Not Valid
UN	91265631	91266676	63347559	Not Valid
LG14	11981755	11985932	11983616	PASS
LG20	91265631	91266676	23466309	Not Valid
LG8	91265631	91266676	16403062	Not Valid
LG12	20063541	20094762	20078203	PASS
LG5	25734980	25743224	25737533	PASS
UN	91265631	91266676	41646940	Not Valid
UN	35168316	35184800	35178996	PASS
LG2	91265631	91266676	16083070	Not Valid
UN	91265631	91266676	34050739	Not Valid
LG10	12674158	12682389	12681700	PASS
UN	91265631	91266676	46602606	Not Valid
UN	91265631	91266676	32403920	Not Valid
UN	91265631	91266676	18136335	Not Valid
LG16	91265631	91266676	17564426	Not Valid
UN	61252975	61257494	61257097	PASS
LG11	18391862	18467679	18466567	PASS
UN	91265631	91266676	10628239	Not Valid
LG14	12077133	12084080	12080405	PASS
UN	91265631	91266676	9367268	Not Valid
LG10	7725700	7739174	7737435	PASS
LG6	19489899	19542942	19490688	PASS
UN	55112555	55116944	55114425	PASS
UN	91265631	91266676	64319209	Not Valid
UN	91265631	91266676	67288626	Not Valid
LG5	91265631	91266676	29138400	Not Valid
LG10	20075262	20081068	20076767	PASS
LG22-25	17214352	17222058	17220392	PASS
LG1A	17912253	17967878	17914821	PASS
UN	15717983	16167386	16031207	PASS
LG13	27314064	27351451	27344012	PASS
LG2	91265631	91266676	23395161	Not Valid
LG11	2823051	2846944	2826907	PASS
LG10	91265631	91266676	499642	Not Valid
UN	91265631	91266676	64238174	Not Valid
UN	82241213	82303384	82282607	PASS
LG8	91265631	91266676	9545472	Not Valid
UN	91265631	91266676	69731976	Not Valid
LG4	13824698	13841383	13840105	PASS
UN	91265631	91266676	93836994	Not Valid
UN	91265631	91266676	48102588	Not Valid
LG22-25	91265631	91266676	11094743	Not Valid
LG8	163265	186627	179493	PASS
LG7	91265631	91266676	22267595	Not Valid
UN	91265631	91266676	61878703	Not Valid
LG19	11260757	11276166	11261943	PASS
UN	91265631	91266676	47295324	Not Valid
UN	91265631	91266676	81422718	Not Valid
UN	14649504	14689327	14650754	PASS
UN	91265631	91266676	56969302	Not Valid
UN	2371132	2395899	2394849	PASS
LG6	91265631	91266676	8235968	Not Valid
LG4	91265631	91266676	15449012	Not Valid
UN	2011014	2023736	2023631	PASS
UN	91265631	91266676	40107536	Not Valid
LG10	91265631	91266676	9383818	Not Valid
LG7	91265631	91266676	9365192	Not Valid
LG6	23090284	23239076	23234487	PASS
LG1B	91265631	91266676	3932376	Not Valid
LG1A	91265631	91266676	5822845	Not Valid
LGx	17628136	17649242	17629559	PASS
UN	91265631	91266676	10844085	Not Valid
LG8	16786033	16787993	16787122	PASS
LG2	91265631	91266676	9296314	Not Valid
LG10	91265631	91266676	5339549	Not Valid
LG22-25	91265631	91266676	2135366	Not Valid
LG8	91265631	91266676	19299696	Not Valid
LG8	18042527	18082064	18073169	PASS
LG18-21	91265631	91266676	11251053	Not Valid
LG18-21	3795080	3811921	3807475	PASS
UN	22463096	22467599	22465867	PASS
UN	91265631	91266676	31352826	Not Valid
UN	91265631	91266676	18451478	Not Valid
UN	91265631	91266676	40281111	Not Valid
UN	91265631	91266676	31926727	Not Valid
UN	16560306	16561254	16560558	PASS
LG1A	26726825	27091779	26781669	PASS
LG5	91265631	91266676	17941273	Not Valid
LG22-25	5894532	5901255	5896924	PASS
LG24	2313146	2340756	2340335	PASS
LG16	3527903	3540793	3535713	PASS
LG11	91265631	91266676	22679160	Not Valid
LG8	9453026	9457247	9457178	PASS
LG7	91265631	91266676	16057384	Not Valid
UN	91265631	91266676	90131427	Not Valid
UN	91265631	91266676	6898686	Not Valid
UN	91265631	91266676	40190058	Not Valid
UN	91265631	91266676	55311348	Not Valid
LG4	91265631	91266676	1294672	Not Valid
LG10	2442842	2495443	2490242	PASS
LG8	2544854	2548713	2548032	PASS
LG2	91265631	91266676	24221285	Not Valid
UN	16166231	16459472	16315834	PASS
LG11	91265631	91266676	9877904	Not Valid
UN	91265631	91266676	56586219	Not Valid
UN	91265631	91266676	61715535	Not Valid
LGx	91265631	91266676	1639663	Not Valid
LG3	91265631	91266676	4488100	Not Valid
LG11	91265631	91266676	13251314	Not Valid
LG17	91265631	91266676	455986	Not Valid
LG19	91265631	91266676	9216811	Not Valid
LG3	91265631	91266676	4492316	Not Valid
LG19	91265631	91266676	22598702	Not Valid
LG9	91265631	91266676	317076	Not Valid
LGx	17573005	17577241	17576439	PASS
UN	91265631	91266676	17752781	Not Valid
UN	91265631	91266676	86027252	Not Valid
LG6	27250245	27252951	27250428	PASS
UN	84882439	85129777	85022029	PASS
LG4	91265631	91266676	16762474	Not Valid
UN	91265631	91266676	13441517	Not Valid
LG1A	14445602	14463876	14462340	PASS
LG4	91265631	91266676	11921922	Not Valid
LG5	26428338	26439822	26437277	PASS
UN	36475153	36478194	36478155	PASS
LG10	19395133	19404395	19403517	PASS
LG3	10234149	10249363	10249101	PASS
LG12	18797048	18803550	18802771	PASS
UN	79247179	79251558	79251111	PASS
LG20	12764904	12774490	12765837	PASS
UN	91265631	91266676	9261928	Not Valid
LG1A	91265631	91266676	12844694	Not Valid
UN	50363469	50440414	50421936	PASS
UN	3432480	3456287	3442965	PASS
LGx	91265631	91266676	10911439	Not Valid
UN	91265631	91266676	80347163	Not Valid
UN	91265631	91266676	43953451	Not Valid
LGx	91265631	91266676	465820	Not Valid
LG12	91265631	91266676	21462016	Not Valid
LG8	5251329	5253305	5251503	PASS
UN	62832208	62839756	62838918	PASS
LG9	6651315	6684228	6683630	PASS
LG6	15151578	15220988	15219559	PASS
LG19	91265631	91266676	7034489	Not Valid
LG19	91265631	91266676	1650788	Not Valid
LG11	9067403	9070393	9068396	PASS
UN	91265631	91266676	69475808	Not Valid
UN	91265631	91266676	95740439	Not Valid
LG10	19778718	19823974	19779506	PASS
UN	17901319	17977718	17905993	PASS
UN	91265631	91266676	64419291	Not Valid
LG6	91265631	91266676	16607089	Not Valid
LG16	91265631	91266676	10031541	Not Valid
LG6	17383578	17399751	17398652	PASS
UN	91265631	91266676	24839551	Not Valid
LG12	91265631	91266676	5063475	Not Valid
UN	91265631	91266676	86620350	Not Valid
LG14	2984791	3009816	3009663	PASS
UN	91265631	91266676	28216638	Not Valid
LG4	26418591	26429259	26424581	PASS
LG1B	91265631	91266676	4162779	Not Valid
UN	91265631	91266676	84776529	Not Valid
LG20	91265631	91266676	47466	Not Valid
UN	25323225	25563570	25422582	PASS
LG6	3214325	3251221	3243322	PASS
LG22-25	91265631	91266676	12886888	Not Valid
UN	25323225	25563570	25427609	PASS
LG24	11048022	11061846	11060906	PASS
LG16	91265631	91266676	12655796	Not Valid
LG4	91265631	91266676	13731143	Not Valid
LG15	91265631	91266676	23267151	Not Valid
LG1B	7887463	7922018	7891465	PASS
LG16	91265631	91266676	8008194	Not Valid
UN	91265631	91266676	7980440	Not Valid
LG7	91265631	91266676	14630627	Not Valid
UN	55870559	56098613	55885503	PASS
LG7	26444820	26457491	26446183	PASS
UN	87193761	87195390	87195160	PASS
UN	39279351	39281471	39280170	PASS
LG12	15254779	15257592	15256740	PASS
UN	91265631	91266676	1957406	Not Valid
LG18-21	91265631	91266676	1588070	Not Valid
LG14	11326715	11378584	11331222	PASS
LG11	91265631	91266676	15193597	Not Valid
LG11	15300728	15331414	15326093	PASS
LG12	2297552	2310020	2303266	PASS
LG4	91265631	91266676	4290862	Not Valid
LG1A	17616392	17638934	17617435	PASS
LG4	3779851	3791281	3788126	PASS
LG7	18173045	18203459	18174178	PASS
UN	91265631	91266676	96746295	Not Valid
UN	91265631	91266676	62512923	Not Valid
LG9	91265631	91266676	8524178	Not Valid
LG19	22023231	22031515	22031070	PASS
LG12	91265631	91266676	7718622	Not Valid
UN	91265631	91266676	63719297	Not Valid
UN	95592952	95593644	95593284	PASS
UN	91265631	91266676	93187495	Not Valid
LG3	9420297	9452384	9452118	PASS
LG22-25	14755857	14786344	14785980	PASS
UN	82372888	82376056	82375849	PASS
LG7	19558153	19573745	19565724	PASS
UN	91265631	91266676	23659681	Not Valid
UN	56586221	56599969	56597261	PASS
LG4	9388187	9390541	9388593	PASS
LG3	91265631	91266676	10394917	Not Valid
LG1B	10809894	10837942	10836447	PASS
LG6	91265631	91266676	3528223	Not Valid
UN	91265631	91266676	87960047	Not Valid
LG4	22645024	22654958	22653342	PASS
LG19	1258508	1271589	1271507	PASS
LG22-25	21207414	21468672	21398383	PASS
LG10	91265631	91266676	20153824	Not Valid
LG5	25916611	25930952	25924702	PASS
LG4	15126428	15127289	15126522	PASS
LG11	16688564	16714913	16693806	PASS
LG17	91265631	91266676	21582223	Not Valid
LG18-21	10969241	10972181	10969766	PASS
LG1A	91265631	91266676	28956895	Not Valid
LG12	10477828	10478917	10477930	PASS
LG19	10999951	11183076	11052820	PASS
UN	18748737	18770891	18763134	PASS
LG17	19588918	19831786	19731726	PASS
LG7	91265631	91266676	4450237	Not Valid
UN	48211606	48214664	48214349	PASS
LG8	91265631	91266676	199361	Not Valid
LG15	91265631	91266676	19678510	Not Valid
LG1A	91265631	91266676	14919990	Not Valid
LG24	91265631	91266676	715740	Not Valid
LG11	24122225	24136436	24122634	PASS
LG11	6778975	6783339	6779238	PASS
LG5	607429	642103	607519	PASS
UN	91265631	91266676	9661742	Not Valid
LG7	91265631	91266676	8471551	Not Valid
LG20	91265631	91266676	21068003	Not Valid
LG12	18839631	18849070	18841743	PASS
LG12	11244181	11277038	11244215	PASS
UN	69915418	69939920	69915797	PASS
LG4	91265631	91266676	5002034	Not Valid
LG16	10552835	10557452	10553256	PASS
UN	88953102	88956108	88953725	PASS
LG5	5993305	6056561	6004546	PASS
LG1B	91265631	91266676	492134	Not Valid
UN	77800257	77816908	77811069	PASS
LG17	6028576	6029849	6028754	PASS
UN	91265631	91266676	77275217	Not Valid
UN	10937119	10944475	10943466	PASS
LG5	91265631	91266676	26478870	Not Valid
UN	48629451	48631490	48629720	PASS
UN	31310507	31324877	31324218	PASS
UN	43101787	43105131	43103687	PASS
UN	91265631	91266676	84611722	Not Valid
LG1B	91265631	91266676	14122932	Not Valid
LG13	91265631	91266676	14452083	Not Valid
UN	91265631	91266676	30035341	Not Valid
LG6	5305627	5328980	5328830	PASS
UN	91265631	91266676	87895016	Not Valid
LG6	22999631	23010957	23008101	PASS
LG20	91265631	91266676	19635755	Not Valid
LG14	19095726	19132973	19116218	PASS
LG10	91265631	91266676	1963791	Not Valid
UN	91265631	91266676	52473129	Not Valid
LG17	91265631	91266676	19388877	Not Valid
UN	52831089	52978258	52976942	PASS
LG3	3418476	3524118	3418500	PASS
LG24	5171340	5175336	5173770	PASS
UN	39309501	39322984	39322961	PASS
UN	91265631	91266676	34079853	Not Valid
LG8	91265631	91266676	10017396	Not Valid
LG10	8102466	8109675	8108604	PASS
UN	22413662	22414159	22413665	PASS
UN	91265631	91266676	17065394	Not Valid
LG16	91265631	91266676	10223342	Not Valid
LG1B	5098125	5110452	5110387	PASS
UN	71040787	71042083	71041584	PASS
LG14	91265631	91266676	4670339	Not Valid
UN	91265631	91266676	35329955	Not Valid
LG1B	8863622	8864382	8863700	PASS
LG3	6165639	6168370	6166641	PASS
LG1A	91265631	91266676	4978035	Not Valid
LG14	18143369	18150528	18150492	PASS
LG15	91265631	91266676	8847986	Not Valid
UN	55380104	55423431	55421085	PASS
UN	91265631	91266676	38367256	Not Valid
UN	91265631	91266676	55255204	Not Valid
LG15	91265631	91266676	19785904	Not Valid
LG12	19339237	19373872	19367449	PASS
LG10	12575792	12610770	12606587	PASS
UN	91265631	91266676	31505076	Not Valid
LGx	91265631	91266676	7938020	Not Valid
LGx	91265631	91266676	12182116	Not Valid
UN	11409525	11411590	11411579	PASS
LG24	91265631	91266676	10562253	Not Valid
LG6	91265631	91266676	27925753	Not Valid
UN	91265631	91266676	8387524	Not Valid
UN	62980501	63013731	62993187	PASS
UN	71045914	71048787	71045915	PASS
LG4	91265631	91266676	18592575	Not Valid
LG8	91265631	91266676	17371842	Not Valid
LG1A	91265631	91266676	23232513	Not Valid
LG17	12769953	12882517	12841036	PASS
UN	91265631	91266676	77547778	Not Valid
LG9	8651627	8653965	8652453	PASS
UN	91265631	91266676	10204349	Not Valid
UN	17517571	17519750	17517956	PASS
LG19	91265631	91266676	19433056	Not Valid
LG24	91265631	91266676	8124494	Not Valid
LG5	14908847	14918058	14910444	PASS
LG5	91265631	91266676	6950490	Not Valid
UN	91265631	91266676	75730343	Not Valid
LG7	15380267	15485470	15440606	PASS
UN	77585612	77595278	77589621	PASS
UN	91265631	91266676	33517922	Not Valid
LG2	91265631	91266676	1987439	Not Valid
LG22-25	91265631	91266676	21976513	Not Valid
UN	91265631	91266676	20199138	Not Valid
LG17	9695159	9699819	9696499	PASS
LG5	91265631	91266676	31014758	Not Valid
LG20	27093642	27108783	27099913	PASS
LG8	221260	259588	232583	PASS
LG16	91265631	91266676	10243234	Not Valid
UN	91265631	91266676	80501570	Not Valid
LG2	4182473	4185734	4185295	PASS
LG14	91265631	91266676	17570915	Not Valid
LG10	19196908	19268918	19197363	PASS
UN	91265631	91266676	6676517	Not Valid
UN	91265631	91266676	93186276	Not Valid
LG7	15320298	15323881	15321478	PASS
LG12	91265631	91266676	20129385	Not Valid
LG19	91265631	91266676	3353242	Not Valid
LG2	91265631	91266676	933251	Not Valid
LG13	91265631	91266676	11959347	Not Valid
LG10	3542466	3587208	3586645	PASS
LG22-25	11597489	11606564	11604449	PASS
LG9	91265631	91266676	5200623	Not Valid
LG1A	91265631	91266676	13046650	Not Valid
LG19	91265631	91266676	23190533	Not Valid
UN	50226181	50228224	50227418	PASS
UN	91694325	91708915	91703336	PASS
UN	91265631	91266676	47138073	Not Valid
LG14	91265631	91266676	10219458	Not Valid
LG19	3355637	3384453	3380048	PASS
UN	22258571	22277753	22260370	PASS
UN	75827468	75852322	75851763	PASS
LG12	91265631	91266676	4531310	Not Valid
LG9	91265631	91266676	1755276	Not Valid
LG5	91265631	91266676	16582823	Not Valid
LG3	4495091	4498344	4497323	PASS
LG11	21439119	21717778	21666498	PASS
LG4	8905089	8949859	8949674	PASS
LG8	91265631	91266676	9548953	Not Valid
LGx	91265631	91266676	9079493	Not Valid
UN	91265631	91266676	48775323	Not Valid
LG15	582982	593619	583259	PASS
UN	38415818	38629962	38446475	PASS
LG2	91265631	91266676	24681659	Not Valid
UN	91265631	91266676	52806570	Not Valid
UN	91265631	91266676	10126263	Not Valid
LG1A	91265631	91266676	16436572	Not Valid
LG22-25	91265631	91266676	10778649	Not Valid
UN	91265631	91266676	9715122	Not Valid
LG9	11331189	11430847	11419902	PASS
UN	91265631	91266676	39169850	Not Valid
LG6	91265631	91266676	1064739	Not Valid
LG14	18862882	18898388	18865572	PASS
LG22-25	20337199	20340101	20340077	PASS
LG13	91265631	91266676	1998864	Not Valid
UN	91265631	91266676	5077296	Not Valid
LG17	13233256	13249175	13244470	PASS
LG19	91265631	91266676	21138994	Not Valid
UN	91265631	91266676	10412145	Not Valid
LG10	91265631	91266676	8514094	Not Valid
LG11	91265631	91266676	23275022	Not Valid
UN	87721082	87785107	87784732	PASS
LG2	91265631	91266676	11422740	Not Valid
UN	60632588	60825487	60818600	PASS
UN	91265631	91266676	3733928	Not Valid
UN	16166231	16459472	16178297	PASS
LG1A	91265631	91266676	8349108	Not Valid
LG17	6165199	6173152	6167684	PASS
UN	25323225	25563570	25399733	PASS
LG20	91265631	91266676	23823101	Not Valid
LG7	91265631	91266676	23137055	Not Valid
UN	91265631	91266676	70227487	Not Valid
LG2	21415473	21446268	21415933	PASS
LG19	7275657	7290377	7279666	PASS
LG5	20869622	20883458	20880814	PASS
UN	91265631	91266676	73902025	Not Valid
LG5	91265631	91266676	13205658	Not Valid
UN	76318949	76320171	76319000	PASS
LG4	5141805	5170322	5170208	PASS
LG20	8491040	8519902	8492501	PASS
LG18-21	4378175	4391378	4378745	PASS
LG11	316847	320556	317908	PASS
LG7	15208814	15220137	15211997	PASS
UN	91265631	91266676	4963499	Not Valid
UN	91265631	91266676	18169746	Not Valid
LG14	91265631	91266676	7049740	Not Valid
LG17	3496743	3507311	3506376	PASS
LG1B	91265631	91266676	7030342	Not Valid
LG5	91265631	91266676	24205246	Not Valid
LG9	5558635	5787253	5581352	PASS
LG10	91265631	91266676	13790302	Not Valid
LG18-21	91265631	91266676	2882160	Not Valid
