     chromosome |       old_start |         old_end |       new_start |         new_end |           codon  |      Length add  | brin 
           LG11 |        22193081 |        22193083 |        22193038 |        22193040 |             TAG  |              41  |  -
             UN |        63420910 |        63420912 |        63420906 |        63420908 |             TAA  |               2  |  -
           LG10 |        17852148 |        17852150 |        17852144 |        17852146 |             TGA  |               2  |  -
            LG2 |        14360043 |        14360045 |        14359889 |        14359891 |             TAA  |             152  |  -
             UN |        92076594 |        92076596 |        92076597 |        92076599 |             TAA  |               3  |  +
             UN |         7709756 |         7709758 |         7709752 |         7709754 |             TGA  |               2  |  -
             UN |        93788118 |        93788120 |        93788133 |        93788135 |             TAA  |              15  |  +
             UN |        10385188 |        10385190 |        10384608 |        10384610 |             TGA  |             578  |  -
            LG8 |         4054697 |         4054699 |         4054693 |         4054695 |             TAA  |               2  |  -
        LG22-25 |        20364546 |        20364548 |        20364549 |        20364551 |             TGA  |               3  |  +
             UN |        87245519 |        87245521 |        87245473 |        87245475 |             TGA  |              44  |  -
            LG8 |        18298149 |        18298151 |        18298031 |        18298033 |             TAG  |             116  |  -
           LG1A |        23166233 |        23166235 |        23166229 |        23166231 |             TAG  |               2  |  -
             UN |         3711470 |         3711472 |         3711578 |         3711580 |             TAA  |             108  |  +
            LG4 |        11578933 |        11578935 |        11578936 |        11578938 |             TGA  |               3  |  +
           LG15 |        19080172 |        19080174 |        19080310 |        19080312 |             TAA  |             138  |  +
             UN |         2343698 |         2343700 |         2343701 |         2343703 |             TAG  |               3  |  +
            LG6 |        21338484 |        21338486 |        21338480 |        21338482 |             TAA  |               2  |  -
             UN |        25597095 |        25597097 |        25597098 |        25597100 |             TGA  |               3  |  +
             UN |        18901734 |        18901736 |        18901737 |        18901739 |             TGA  |               3  |  +
           LG1A |        16802697 |        16802699 |        16802700 |        16802702 |             TAA  |               3  |  +
             UN |        85836569 |        85836571 |        85836499 |        85836501 |             TAG  |              68  |  -
             UN |        75538577 |        75538579 |        75538573 |        75538575 |             TGA  |               2  |  -
            LG7 |         3616644 |         3616646 |         3616640 |         3616642 |             TAA  |               2  |  -
           LG13 |        12560639 |        12560641 |        12560635 |        12560637 |             TAA  |               2  |  -
             UN |        63154801 |        63154803 |        63154797 |        63154799 |             TGA  |               2  |  -
           LG20 |         1074796 |         1074798 |         1074792 |         1074794 |             TAG  |               2  |  -
        LG18-21 |        10664466 |        10664468 |        10664469 |        10664471 |             TGA  |               3  |  +
            LG2 |         7804034 |         7804036 |         7804030 |         7804032 |             TAA  |               2  |  -
             UN |        72486636 |        72486638 |        72486632 |        72486634 |             TAG  |               2  |  -
           LG15 |        13801446 |        13801448 |        13801442 |        13801444 |             TGA  |               2  |  -
            LG4 |         2778714 |         2778716 |         2778710 |         2778712 |             TGA  |               2  |  -
             UN |        32329564 |        32329566 |        32329762 |        32329764 |             TAA  |             198  |  +
            LG6 |          800022 |          800024 |          800018 |          800020 |             TAA  |               2  |  -
             UN |        14652738 |        14652740 |        14652741 |        14652743 |             TGA  |               3  |  +
           LG14 |         9734998 |         9735000 |         9735001 |         9735003 |             TGA  |               3  |  +
           LG15 |         3453897 |         3453899 |         3453900 |         3453902 |             TGA  |               3  |  +
           LG1A |        26243078 |        26243080 |        26243074 |        26243076 |             TGA  |               2  |  -
             UN |        61683053 |        61683055 |        61683056 |        61683058 |             TAA  |               3  |  +
           LG19 |         9227975 |         9227977 |         9227971 |         9227973 |             TGA  |               2  |  -
           LG15 |        23200077 |        23200079 |        23200073 |        23200075 |             TAG  |               2  |  -
            LG5 |        23666862 |        23666864 |        23666865 |        23666867 |             TAA  |               3  |  +
            LG7 |         3478658 |         3478660 |         3479078 |         3479080 |             TAG  |             420  |  +
           LG20 |         9243394 |         9243396 |         9243397 |         9243399 |             TAG  |               3  |  +
           LG24 |         6320283 |         6320285 |         6320279 |         6320281 |             TGA  |               2  |  -
            LG6 |          553968 |          553970 |          553971 |          553973 |             TAA  |               3  |  +
            LG4 |         1960326 |         1960328 |         1960322 |         1960324 |             TGA  |               2  |  -
             UN |         9086572 |         9086574 |         9086568 |         9086570 |             TGA  |               2  |  -
             UN |        92228770 |        92228772 |        92228884 |        92228886 |             TAA  |             114  |  +
             UN |        15594449 |        15594451 |        15594424 |        15594426 |             TGA  |              23  |  -
             UN |        96174659 |        96174661 |        96174662 |        96174664 |             TGA  |               3  |  +
           LG20 |        18139085 |        18139087 |        18139088 |        18139090 |             TAA  |               3  |  +
             UN |        77560811 |        77560813 |        77560588 |        77560590 |             TAG  |             221  |  -
        LG18-21 |         6462079 |         6462081 |         6462325 |         6462327 |             TAA  |             246  |  +
             UN |        38352581 |        38352583 |        38352584 |        38352586 |             TGA  |               3  |  +
           LG24 |         5729162 |         5729164 |         5729158 |         5729160 |             TAG  |               2  |  -
             UN |        11922028 |        11922030 |        11922024 |        11922026 |             TGA  |               2  |  -
             UN |        74904843 |        74904845 |        74904758 |        74904760 |             TGA  |              83  |  -
            LG5 |          885920 |          885922 |          885923 |          885925 |             TGA  |               3  |  +
           LG11 |        12002546 |        12002548 |        12002542 |        12002544 |             TGA  |               2  |  -
            LG8 |        14612176 |        14612178 |        14612172 |        14612174 |             TAG  |               2  |  -
           LG10 |        23272396 |        23272398 |        23272392 |        23272394 |             TAG  |               2  |  -
           LG13 |         1743971 |         1743973 |         1743974 |         1743976 |             TGA  |               3  |  +
             UN |        96148136 |        96148138 |        96148139 |        96148141 |             TGA  |               3  |  +
            LG4 |        25548892 |        25548894 |        25548888 |        25548890 |             TAG  |               2  |  -
            LG2 |         8068309 |         8068311 |         8068188 |         8068190 |             TAA  |             119  |  -
           LG14 |        27517068 |        27517070 |        27517064 |        27517066 |             TGA  |               2  |  -
           LG20 |         7588420 |         7588422 |         7588423 |         7588425 |             TGA  |               3  |  +
             UN |        79392803 |        79392805 |        79392812 |        79392814 |             TGA  |               9  |  +
            LG7 |        25755269 |        25755271 |        25755854 |        25755856 |             TGA  |             585  |  +
             UN |        81370419 |        81370421 |        81370403 |        81370405 |             TAA  |              14  |  -
           LG17 |         3477119 |         3477121 |         3477122 |         3477124 |             TGA  |               3  |  +
           LG14 |         9082924 |         9082926 |         9082927 |         9082929 |             TAG  |               3  |  +
            LG2 |         6342816 |         6342818 |         6342812 |         6342814 |             TAG  |               2  |  -
        LG18-21 |        12574160 |        12574162 |        12574156 |        12574158 |             TAG  |               2  |  -
             UN |        15608487 |        15608489 |        15608483 |        15608485 |             TAA  |               2  |  -
            LG6 |          589851 |          589853 |          589805 |          589807 |             TAA  |              44  |  -
             UN |        93597758 |        93597760 |        93597754 |        93597756 |             TAG  |               2  |  -
           LG19 |         7363595 |         7363597 |         7363598 |         7363600 |             TGA  |               3  |  +
            LG5 |        14705200 |        14705202 |        14705196 |        14705198 |             TAG  |               2  |  -
           LG13 |        13876026 |        13876028 |        13875926 |        13875928 |             TAG  |              98  |  -
            LG2 |        13591205 |        13591207 |        13591201 |        13591203 |             TAA  |               2  |  -
             UN |        56888550 |        56888552 |        56888838 |        56888840 |             TAA  |             288  |  +
             UN |        15991656 |        15991658 |        15992028 |        15992030 |             TAA  |             372  |  +
           LG10 |         8134336 |         8134338 |         8134477 |         8134479 |             TGA  |             141  |  +
            LG8 |        10536818 |        10536820 |        10536814 |        10536816 |             TGA  |               2  |  -
           LG24 |          876886 |          876888 |          876889 |          876891 |             TGA  |               3  |  +
           LG1A |        25917921 |        25917923 |        25917917 |        25917919 |             TGA  |               2  |  -
             UN |        94027954 |        94027956 |        94027950 |        94027952 |             TAA  |               2  |  -
            LG4 |        18744313 |        18744315 |        18744309 |        18744311 |             TAG  |               2  |  -
            LG7 |         8140871 |         8140873 |         8140867 |         8140869 |             TAA  |               2  |  -
             UN |        85469374 |        85469376 |        85469370 |        85469372 |             TGA  |               2  |  -
             UN |        18585397 |        18585399 |        18585418 |        18585420 |             TAA  |              21  |  +
            LGx |         8046867 |         8046869 |         8046863 |         8046865 |             TGA  |               2  |  -
           LG13 |        14443749 |        14443751 |        14443752 |        14443754 |             TGA  |               3  |  +
             UN |        15716055 |        15716057 |        15716051 |        15716053 |             TGA  |               2  |  -
             UN |        28023804 |        28023806 |        28023807 |        28023809 |             TGA  |               3  |  +
           LG15 |         2687198 |         2687200 |         2687435 |         2687437 |             TGA  |             237  |  +
            LG2 |         4203093 |         4203095 |         4202909 |         4202911 |             TGA  |             182  |  -
           LG12 |         2629141 |         2629143 |         2629144 |         2629146 |             TAG  |               3  |  +
            LG6 |         7858140 |         7858142 |         7858034 |         7858036 |             TGA  |             104  |  -
             UN |        68150039 |        68150041 |        68150035 |        68150037 |             TGA  |               2  |  -
             UN |        63404570 |        63404572 |        63404566 |        63404568 |             TAA  |               2  |  -
            LG7 |        12741909 |        12741911 |        12741912 |        12741914 |             TAG  |               3  |  +
             UN |        71359119 |        71359121 |        71359122 |        71359124 |             TAA  |               3  |  +
           LG20 |        15012400 |        15012402 |        15012396 |        15012398 |             TGA  |               2  |  -
            LG6 |        12881493 |        12881495 |        12881489 |        12881491 |             TAA  |               2  |  -
            LG4 |        10841186 |        10841188 |        10841189 |        10841191 |             TAG  |               3  |  +
            LGx |        17242783 |        17242785 |        17242786 |        17242788 |             TAG  |               3  |  +
           LG20 |         7931148 |         7931150 |         7931151 |         7931153 |             TGA  |               3  |  +
             UN |        74459882 |        74459884 |        74459885 |        74459887 |             TAG  |               3  |  +
        LG22-25 |         5603395 |         5603397 |         5603391 |         5603393 |             TAA  |               2  |  -
           LG24 |        13324258 |        13324260 |        13324254 |        13324256 |             TGA  |               2  |  -
            LG9 |         6699289 |         6699291 |         6699285 |         6699287 |             TGA  |               2  |  -
             UN |        55391442 |        55391444 |        55391445 |        55391447 |             TGA  |               3  |  +
        LG22-25 |         8829353 |         8829355 |         8829356 |         8829358 |             TGA  |               3  |  +
            LG2 |         4333251 |         4333253 |         4333383 |         4333385 |             TGA  |             132  |  +
            LG9 |        14671643 |        14671645 |        14671646 |        14671648 |             TAG  |               3  |  +
           LG15 |         3310981 |         3310983 |         3310984 |         3310986 |             TGA  |               3  |  +
            LG9 |         6600817 |         6600819 |         6600820 |         6600822 |             TAG  |               3  |  +
            LG6 |        17179343 |        17179345 |        17178811 |        17178813 |             TAA  |             530  |  -
        LG18-21 |         7624405 |         7624407 |         7624408 |         7624410 |             TAG  |               3  |  +
           LG19 |        17321826 |        17321828 |        17321829 |        17321831 |             TGA  |               3  |  +
             UN |        65761458 |        65761460 |        65761364 |        65761366 |             TGA  |              92  |  -
            LG7 |         9676756 |         9676758 |         9676752 |         9676754 |             TAA  |               2  |  -
             UN |        87042770 |        87042772 |        87042766 |        87042768 |             TAA  |               2  |  -
             UN |        56201104 |        56201106 |        56201100 |        56201102 |             TAA  |               2  |  -
           LG20 |         9101744 |         9101746 |         9101747 |         9101749 |             TAA  |               3  |  +
           LG19 |        17286038 |        17286040 |        17286041 |        17286043 |             TGA  |               3  |  +
        LG18-21 |         1489061 |         1489063 |         1489064 |         1489066 |             TGA  |               3  |  +
            LG9 |        10025104 |        10025106 |        10025203 |        10025205 |             TAG  |              99  |  +
           LG13 |        21575798 |        21575800 |        21575794 |        21575796 |             TGA  |               2  |  -
           LG24 |         9982853 |         9982855 |         9982849 |         9982851 |             TAA  |               2  |  -
            LG4 |        26509001 |        26509003 |        26508997 |        26508999 |             TAA  |               2  |  -
           LG14 |        13217993 |        13217995 |        13217989 |        13217991 |             TAA  |               2  |  -
             UN |        79830601 |        79830603 |        79830730 |        79830732 |             TAA  |             129  |  +
             UN |        69018757 |        69018759 |        69018760 |        69018762 |             TGA  |               3  |  +
             UN |        64155667 |        64155669 |        64155913 |        64155915 |             TAA  |             246  |  +
            LG9 |         7127867 |         7127869 |         7127969 |         7127971 |             TAA  |             102  |  +
             UN |        28463756 |        28463758 |        28463713 |        28463715 |             TGA  |              41  |  -
           LG1B |         4623858 |         4623860 |         4623854 |         4623856 |             TGA  |               2  |  -
           LG20 |         4346872 |         4346874 |         4346661 |         4346663 |             TAA  |             209  |  -
             UN |        79052512 |        79052514 |        79052508 |        79052510 |             TAG  |               2  |  -
             UN |        96176215 |        96176217 |        96176211 |        96176213 |             TAA  |               2  |  -
           LG19 |        14930579 |        14930581 |        14930582 |        14930584 |             TAA  |               3  |  +
           LG19 |          631078 |          631080 |          631074 |          631076 |             TGA  |               2  |  -
             UN |        33999104 |        33999106 |        33999107 |        33999109 |             TGA  |               3  |  +
           LG20 |        14623780 |        14623782 |        14623783 |        14623785 |             TAA  |               3  |  +
             UN |        70408045 |        70408047 |        70408041 |        70408043 |             TGA  |               2  |  -
             UN |        79169659 |        79169661 |        79169655 |        79169657 |             TGA  |               2  |  -
           LG1A |        17045797 |        17045799 |        17045793 |        17045795 |             TAG  |               2  |  -
            LG2 |         7860286 |         7860288 |         7860282 |         7860284 |             TGA  |               2  |  -
             UN |        10659456 |        10659458 |        10659452 |        10659454 |             TAG  |               2  |  -
           LG1B |        16302849 |        16302851 |        16302852 |        16302854 |             TAG  |               3  |  +
           LG16 |        13514468 |        13514470 |        13514510 |        13514512 |             TGA  |              42  |  +
           LG10 |        15894102 |        15894104 |        15894105 |        15894107 |             TAA  |               3  |  +
            LGx |         1410608 |         1410610 |         1410611 |         1410613 |             TGA  |               3  |  +
           LG17 |         5998358 |         5998360 |         5998361 |         5998363 |             TAA  |               3  |  +
        LG22-25 |        11022713 |        11022715 |        11022709 |        11022711 |             TAG  |               2  |  -
             UN |        76883577 |        76883579 |        76883580 |        76883582 |             TGA  |               3  |  +
             UN |         5569872 |         5569874 |         5570007 |         5570009 |             TAA  |             135  |  +
        LG22-25 |        23271978 |        23271980 |        23271974 |        23271976 |             TGA  |               2  |  -
           LG13 |        18466490 |        18466492 |        18466486 |        18466488 |             TGA  |               2  |  -
             UN |         8912117 |         8912119 |         8912101 |         8912103 |             TAG  |              14  |  -
           LG1A |        25499726 |        25499728 |        25499729 |        25499731 |             TAG  |               3  |  +
           LG16 |        13477152 |        13477154 |        13477148 |        13477150 |             TGA  |               2  |  -
           LG14 |        18500002 |        18500004 |        18499998 |        18500000 |             TGA  |               2  |  -
            LG3 |          453811 |          453813 |          453814 |          453816 |             TAG  |               3  |  +
            LG2 |         4093068 |         4093070 |         4093064 |         4093066 |             TAA  |               2  |  -
            LG5 |        29142413 |        29142415 |        29142409 |        29142411 |             TAG  |               2  |  -
             UN |        18717752 |        18717754 |        18717748 |        18717750 |             TGA  |               2  |  -
             UN |        81767659 |        81767661 |        81767655 |        81767657 |             TAA  |               2  |  -
           LG1A |        27112926 |        27112928 |        27112922 |        27112924 |             TAG  |               2  |  -
             UN |        74882223 |        74882225 |        74882177 |        74882179 |             TAA  |              44  |  -
           LG10 |        10284648 |        10284650 |        10284644 |        10284646 |             TGA  |               2  |  -
            LGx |         1292978 |         1292980 |         1292981 |         1292983 |             TGA  |               3  |  +
           LG1B |         8867254 |         8867256 |         8867250 |         8867252 |             TAA  |               2  |  -
           LG19 |         3575225 |         3575227 |         3575221 |         3575223 |             TAG  |               2  |  -
           LG17 |        16785496 |        16785498 |        16785462 |        16785464 |             TAG  |              32  |  -
             UN |         2603116 |         2603118 |         2602974 |         2602976 |             TAA  |             140  |  -
        LG18-21 |        13510294 |        13510296 |        13510297 |        13510299 |             TGA  |               3  |  +
           LG17 |        18448948 |        18448950 |        18448951 |        18448953 |             TGA  |               3  |  +
            LG2 |         5313886 |         5313888 |         5313889 |         5313891 |             TGA  |               3  |  +
             UN |        35556181 |        35556183 |        35556250 |        35556252 |             TAA  |              69  |  +
            LG7 |         9569057 |         9569059 |         9569053 |         9569055 |             TAA  |               2  |  -
             UN |        27448972 |        27448974 |        27448860 |        27448862 |             TAG  |             110  |  -
           LG10 |         7612663 |         7612665 |         7612659 |         7612661 |             TGA  |               2  |  -
             UN |        34272234 |        34272236 |        34272230 |        34272232 |             TGA  |               2  |  -
             UN |        29664250 |        29664252 |        29663967 |        29663969 |             TGA  |             281  |  -
            LG2 |        10948268 |        10948270 |        10948264 |        10948266 |             TGA  |               2  |  -
           LG17 |         3526209 |         3526211 |         3526205 |         3526207 |             TAG  |               2  |  -
           LG19 |        15738757 |        15738759 |        15738907 |        15738909 |             TAG  |             150  |  +
             UN |         9750252 |         9750254 |         9750248 |         9750250 |             TGA  |               2  |  -
             UN |        25321588 |        25321590 |        25321584 |        25321586 |             TAA  |               2  |  -
            LG2 |        11668854 |        11668856 |        11668850 |        11668852 |             TAA  |               2  |  -
             UN |        31401464 |        31401466 |        31401626 |        31401628 |             TAG  |             162  |  +
             UN |         9307573 |         9307575 |         9307569 |         9307571 |             TGA  |               2  |  -
            LG2 |         3091935 |         3091937 |         3091931 |         3091933 |             TAA  |               2  |  -
            LG8 |        19882492 |        19882494 |        19882495 |        19882497 |             TAG  |               3  |  +
             UN |        96662266 |        96662268 |        96662269 |        96662271 |             TAA  |               3  |  +
        LG22-25 |         3226127 |         3226129 |         3226123 |         3226125 |             TAG  |               2  |  -
            LG7 |        16142935 |        16142937 |        16142938 |        16142940 |             TAG  |               3  |  +
            LG4 |         8964943 |         8964945 |         8964939 |         8964941 |             TGA  |               2  |  -
            LG7 |        25865489 |        25865491 |        25865485 |        25865487 |             TGA  |               2  |  -
           LG17 |        21733479 |        21733481 |        21733482 |        21733484 |             TGA  |               3  |  +
            LGx |         8030253 |         8030255 |         8030256 |         8030258 |             TGA  |               3  |  +
           LG16 |         5802361 |         5802363 |         5802357 |         5802359 |             TGA  |               2  |  -
            LGx |        17324041 |        17324043 |        17324037 |        17324039 |             TGA  |               2  |  -
            LG8 |        11098779 |        11098781 |        11098782 |        11098784 |             TGA  |               3  |  +
            LGx |        13356381 |        13356383 |        13356377 |        13356379 |             TAA  |               2  |  -
             UN |        36656572 |        36656574 |        36656575 |        36656577 |             TAA  |               3  |  +
             UN |        76773075 |        76773077 |        76773071 |        76773073 |             TAA  |               2  |  -
            LG7 |        10316918 |        10316920 |        10316921 |        10316923 |             TAG  |               3  |  +
             UN |         4212236 |         4212238 |         4212731 |         4212733 |             TAA  |             495  |  +
           LG13 |        25251914 |        25251916 |        25251917 |        25251919 |             TAA  |               3  |  +
           LG10 |         4784950 |         4784952 |         4784953 |         4784955 |             TAG  |               3  |  +
             UN |        42766098 |        42766100 |        42766094 |        42766096 |             TGA  |               2  |  -
             UN |        44430313 |        44430315 |        44430316 |        44430318 |             TGA  |               3  |  +
           LG1A |        16226915 |        16226917 |        16226918 |        16226920 |             TAG  |               3  |  +
            LG5 |        28158481 |        28158483 |        28158477 |        28158479 |             TAG  |               2  |  -
             UN |        93828911 |        93828913 |        93829769 |        93829771 |             TAA  |             858  |  +
        LG22-25 |         8064750 |         8064752 |         8064753 |         8064755 |             TGA  |               3  |  +
             UN |        86092297 |        86092299 |        86092300 |        86092302 |             TAA  |               3  |  +
           LG11 |         6509069 |         6509071 |         6509072 |         6509074 |             TAG  |               3  |  +
             UN |        55964957 |        55964959 |        55964953 |        55964955 |             TGA  |               2  |  -
            LG2 |         6693025 |         6693027 |         6693028 |         6693030 |             TAA  |               3  |  +
             UN |        73455760 |        73455762 |        73455756 |        73455758 |             TGA  |               2  |  -
            LG4 |        22693027 |        22693029 |        22692909 |        22692911 |             TAG  |             116  |  -
             UN |         1092660 |         1092662 |         1092656 |         1092658 |             TAA  |               2  |  -
             UN |        86955560 |        86955562 |        86955556 |        86955558 |             TAA  |               2  |  -
           LG10 |        12566979 |        12566981 |        12567111 |        12567113 |             TAA  |             132  |  +
            LG7 |         9471355 |         9471357 |         9471351 |         9471353 |             TAG  |               2  |  -
        LG22-25 |        13824188 |        13824190 |        13824184 |        13824186 |             TGA  |               2  |  -
           LG19 |          789820 |          789822 |          789823 |          789825 |             TAA  |               3  |  +
           LG1A |         2887398 |         2887400 |         2887401 |         2887403 |             TAG  |               3  |  +
             UN |        63347131 |        63347133 |        63347557 |        63347559 |             TAG  |             426  |  +
           LG14 |        11983618 |        11983620 |        11983614 |        11983616 |             TAG  |               2  |  -
           LG20 |        23466311 |        23466313 |        23466307 |        23466309 |             TAA  |               2  |  -
            LG8 |        16403064 |        16403066 |        16403060 |        16403062 |             TGA  |               2  |  -
           LG12 |        20078198 |        20078200 |        20078201 |        20078203 |             TGA  |               3  |  +
            LG5 |        25737528 |        25737530 |        25737531 |        25737533 |             TAA  |               3  |  +
             UN |        41646827 |        41646829 |        41646938 |        41646940 |             TAA  |             111  |  +
             UN |        35178998 |        35179000 |        35178994 |        35178996 |             TAA  |               2  |  -
            LG2 |        16083072 |        16083074 |        16083068 |        16083070 |             TAG  |               2  |  -
             UN |        34050741 |        34050743 |        34050737 |        34050739 |             TGA  |               2  |  -
           LG10 |        12681702 |        12681704 |        12681698 |        12681700 |             TAA  |               2  |  -
             UN |        46602601 |        46602603 |        46602604 |        46602606 |             TAA  |               3  |  +
             UN |        32404153 |        32404155 |        32403918 |        32403920 |             TAA  |             233  |  -
             UN |        18136219 |        18136221 |        18136333 |        18136335 |             TGA  |             114  |  +
           LG16 |        17564428 |        17564430 |        17564424 |        17564426 |             TGA  |               2  |  -
             UN |        61257092 |        61257094 |        61257095 |        61257097 |             TAA  |               3  |  +
           LG11 |        18466562 |        18466564 |        18466565 |        18466567 |             TAA  |               3  |  +
             UN |        10628241 |        10628243 |        10628237 |        10628239 |             TAA  |               2  |  -
           LG14 |        12080400 |        12080402 |        12080403 |        12080405 |             TAA  |               3  |  +
             UN |         9367263 |         9367265 |         9367266 |         9367268 |             TGA  |               3  |  +
           LG10 |         7737430 |         7737432 |         7737433 |         7737435 |             TAG  |               3  |  +
            LG6 |        19490690 |        19490692 |        19490686 |        19490688 |             TGA  |               2  |  -
             UN |        55114427 |        55114429 |        55114423 |        55114425 |             TGA  |               2  |  -
             UN |        64319211 |        64319213 |        64319207 |        64319209 |             TGA  |               2  |  -
             UN |        67289606 |        67289608 |        67288624 |        67288626 |             TAA  |             980  |  -
            LG5 |        29138299 |        29138301 |        29138398 |        29138400 |             TAG  |              99  |  +
           LG10 |        20076769 |        20076771 |        20076765 |        20076767 |             TAA  |               2  |  -
        LG22-25 |        17220394 |        17220396 |        17220390 |        17220392 |             TGA  |               2  |  -
           LG1A |        17914816 |        17914818 |        17914819 |        17914821 |             TGA  |               3  |  +
             UN |        16030911 |        16030913 |        16031205 |        16031207 |             TAA  |             294  |  +
           LG13 |        27344014 |        27344016 |        27344010 |        27344012 |             TAA  |               2  |  -
            LG2 |        23395163 |        23395165 |        23395159 |        23395161 |             TAA  |               2  |  -
           LG11 |         2826909 |         2826911 |         2826905 |         2826907 |             TGA  |               2  |  -
           LG10 |          499637 |          499639 |          499640 |          499642 |             TGA  |               3  |  +
             UN |        64238169 |        64238171 |        64238172 |        64238174 |             TGA  |               3  |  +
             UN |        82282609 |        82282611 |        82282605 |        82282607 |             TGA  |               2  |  -
            LG8 |         9545467 |         9545469 |         9545470 |         9545472 |             TGA  |               3  |  +
             UN |        69731842 |        69731844 |        69731974 |        69731976 |             TAA  |             132  |  +
            LG4 |        13840100 |        13840102 |        13840103 |        13840105 |             TAA  |               3  |  +
             UN |        93836785 |        93836787 |        93836992 |        93836994 |             TGA  |             207  |  +
             UN |        48102608 |        48102610 |        48102586 |        48102588 |             TGA  |              20  |  -
        LG22-25 |        11094745 |        11094747 |        11094741 |        11094743 |             TGA  |               2  |  -
            LG8 |          179495 |          179497 |          179491 |          179493 |             TGA  |               2  |  -
            LG7 |        22267590 |        22267592 |        22267593 |        22267595 |             TAA  |               3  |  +
             UN |        61878698 |        61878700 |        61878701 |        61878703 |             TAA  |               3  |  +
           LG19 |        11261945 |        11261947 |        11261941 |        11261943 |             TGA  |               2  |  -
             UN |        47295326 |        47295328 |        47295322 |        47295324 |             TGA  |               2  |  -
             UN |        81422713 |        81422715 |        81422716 |        81422718 |             TGA  |               3  |  +
             UN |        14650749 |        14650751 |        14650752 |        14650754 |             TGA  |               3  |  +
             UN |        56969304 |        56969306 |        56969300 |        56969302 |             TGA  |               2  |  -
             UN |         2394851 |         2394853 |         2394847 |         2394849 |             TAA  |               2  |  -
            LG6 |         8235970 |         8235972 |         8235966 |         8235968 |             TAA  |               2  |  -
            LG4 |        15449007 |        15449009 |        15449010 |        15449012 |             TAA  |               3  |  +
             UN |         2023633 |         2023635 |         2023629 |         2023631 |             TGA  |               2  |  -
             UN |        40107577 |        40107579 |        40107534 |        40107536 |             TAA  |              41  |  -
