chromosome	CDS_start	CDS_end	new_start	Filter
LG8	91265631	91266676	18223811	Not Valid
UN	91265631	91266676	77670739	Not Valid
LG10	91265631	91266676	20327450	Not Valid
LG16	4621946	4654306	4622148	PASS
UN	91265631	91266676	66121564	Not Valid
LG2	91265631	91266676	15171577	Not Valid
LGx	91265631	91266676	628817	Not Valid
LG1B	17859015	17874289	17859028	PASS
LG8	22800489	22807654	22807550	PASS
UN	80734569	80745086	80744998	PASS
LG16	13321406	13339763	13327904	PASS
LG5	13274688	13276509	13275683	PASS
LG14	91265631	91266676	28013505	Not Valid
LG15	17952173	18001896	18001854	PASS
UN	91265631	91266676	65017686	Not Valid
LG13	10527914	10536811	10529188	PASS
LG18-21	91265631	91266676	12305699	Not Valid
LG16	91265631	91266676	3428759	Not Valid
LG5	4193943	4201033	4194107	PASS
UN	91265631	91266676	76621614	Not Valid
UN	6402501	6418663	6412853	PASS
UN	91265631	91266676	9563762	Not Valid
LG15	21102648	21104137	21103784	PASS
LG15	15322118	15338649	15335190	PASS
LG19	4161697	4165775	4161802	PASS
LG1A	1423857	1428619	1423882	PASS
UN	54924184	54940048	54936889	PASS
LG20	91265631	91266676	23660755	Not Valid
LG9	11512179	11532635	11517815	PASS
LGx	91265631	91266676	16692988	Not Valid
LG13	91265631	91266676	25801422	Not Valid
UN	87164515	87227095	87185529	PASS
UN	91265631	91266676	28669656	Not Valid
LG24	91265631	91266676	5442750	Not Valid
LG20	20951618	20958505	20957421	PASS
LG3	2332105	2536281	2531537	PASS
UN	91265631	91266676	74690456	Not Valid
LG22-25	91265631	91266676	18531373	Not Valid
LG1A	8398436	8414404	8410876	PASS
LG14	91265631	91266676	23082835	Not Valid
LGx	17677571	17678790	17678631	PASS
UN	78546768	78553583	78553086	PASS
UN	91265631	91266676	57973508	Not Valid
LG14	3034472	3038828	3037263	PASS
UN	91265631	91266676	9959262	Not Valid
LG8	18268516	18279829	18269184	PASS
LG2	11034134	11038208	11038108	PASS
UN	91265631	91266676	9963569	Not Valid
LG17	91265631	91266676	1723527	Not Valid
LG8	91265631	91266676	4262936	Not Valid
LG13	6404762	6423407	6414649	PASS
LG9	91265631	91266676	1250178	Not Valid
LG1B	91265631	91266676	13703136	Not Valid
LG12	91265631	91266676	21880651	Not Valid
UN	28178616	28185386	28179428	PASS
LG12	91265631	91266676	10692860	Not Valid
LG1A	91265631	91266676	10676725	Not Valid
LG8	17898396	17905550	17904516	PASS
UN	91265631	91266676	52091085	Not Valid
LG5	17286643	17293074	17292899	PASS
UN	68096811	68100752	68100630	PASS
LG19	91265631	91266676	2046644	Not Valid
LG19	91265631	91266676	10108466	Not Valid
LG20	43181	45698	43950	PASS
UN	91265631	91266676	93973656	Not Valid
UN	83148917	83404642	83329956	PASS
LG1A	9305401	9318764	9318650	PASS
LG15	91265631	91266676	9524039	Not Valid
LG11	91265631	91266676	9634807	Not Valid
LG19	5666050	5676348	5676320	PASS
LG1A	91265631	91266676	24354320	Not Valid
LG15	3104803	3116517	3104818	PASS
UN	91265631	91266676	66682710	Not Valid
LG12	91265631	91266676	10910590	Not Valid
UN	91265631	91266676	38110182	Not Valid
UN	50860553	50881018	50866576	PASS
LG9	17395990	17396725	17396281	PASS
UN	91265631	91266676	8163668	Not Valid
LG12	20342885	20357641	20355193	PASS
LG8	91265631	91266676	17967891	Not Valid
LG9	91265631	91266676	16906649	Not Valid
UN	65063554	65068112	65063646	PASS
LG4	26140299	26170794	26161301	PASS
UN	43458367	43459331	43458443	PASS
UN	82849620	82860346	82856921	PASS
LG1A	91265631	91266676	16669860	Not Valid
UN	91265631	91266676	90589243	Not Valid
LG2	91265631	91266676	760764	Not Valid
LG15	16250757	16261494	16252760	PASS
LG5	91265631	91266676	16470544	Not Valid
UN	91265631	91266676	65868497	Not Valid
LG13	9410185	9425583	9412483	PASS
LGx	9793954	9798230	9797239	PASS
LG18-21	91265631	91266676	2944851	Not Valid
LG20	91265631	91266676	2567151	Not Valid
UN	91265631	91266676	11246843	Not Valid
LG8	91265631	91266676	9533483	Not Valid
UN	56666523	56670247	56667909	PASS
UN	19635898	19646084	19646052	PASS
LG8	91265631	91266676	20972022	Not Valid
LG2	91265631	91266676	9629091	Not Valid
UN	91265631	91266676	42597057	Not Valid
LG22-25	91265631	91266676	4883001	Not Valid
LG20	91265631	91266676	15029731	Not Valid
LG9	91265631	91266676	8822092	Not Valid
LG15	17084406	17108173	17100631	PASS
UN	91265631	91266676	8975961	Not Valid
LG10	91265631	91266676	18720419	Not Valid
LG20	91265631	91266676	14219437	Not Valid
LG11	24198917	24208819	24199808	PASS
LG16	91265631	91266676	8578656	Not Valid
LG24	91265631	91266676	4176516	Not Valid
LG4	16132819	16158048	16155453	PASS
UN	91265631	91266676	39680849	Not Valid
LG1A	91265631	91266676	3049514	Not Valid
LG3	6424469	6436222	6436178	PASS
LG5	91265631	91266676	8457065	Not Valid
LG16	91265631	91266676	7426368	Not Valid
LG2	159421	173326	169602	PASS
UN	91265631	91266676	35483667	Not Valid
LG4	91265631	91266676	22569753	Not Valid
LG13	91265631	91266676	15800850	Not Valid
LG11	9055759	9067201	9059455	PASS
LG10	91265631	91266676	7166776	Not Valid
LG7	91265631	91266676	20289799	Not Valid
LG7	10201513	10230315	10202471	PASS
LG2	91265631	91266676	4129485	Not Valid
LG20	91265631	91266676	20651279	Not Valid
LG2	91265631	91266676	21934632	Not Valid
UN	41653697	41658509	41656524	PASS
LG22-25	91265631	91266676	25011116	Not Valid
LG18-21	91265631	91266676	10897088	Not Valid
LG11	91265631	91266676	10022348	Not Valid
LG8	91265631	91266676	22660944	Not Valid
LG1A	91265631	91266676	28997607	Not Valid
LG15	25153131	25174360	25174154	PASS
LG13	91265631	91266676	3973754	Not Valid
LG5	390212	397676	390236	PASS
LG7	1341887	1366438	1351461	PASS
LG22-25	3506488	3510950	3506807	PASS
LG17	17841795	17854167	17852923	PASS
UN	91265631	91266676	72081177	Not Valid
LG12	10158215	10160159	10160130	PASS
LG20	8303423	8353180	8309851	PASS
LG22-25	1882080	1902787	1885012	PASS
LG1A	19234835	19266363	19265776	PASS
UN	93441529	93450735	93450611	PASS
LG20	12899460	12907134	12906067	PASS
LG5	22470257	22549206	22475419	PASS
LG10	91265631	91266676	11161154	Not Valid
LG10	11802431	11807758	11803169	PASS
UN	73546486	73548002	73546506	PASS
UN	2291242	2292784	2292370	PASS
LG13	91265631	91266676	14108745	Not Valid
LG13	12889023	12897789	12897513	PASS
LG8	2400941	2420522	2420261	PASS
LG1B	91265631	91266676	3875999	Not Valid
LG1A	14617667	14647633	14637004	PASS
LG17	19588918	19831786	19703107	PASS
LG8	91265631	91266676	6079083	Not Valid
UN	91265631	91266676	51888682	Not Valid
LG10	5754249	5760155	5760114	PASS
LG2	91265631	91266676	682081	Not Valid
LG7	91265631	91266676	17854375	Not Valid
LG16	11146731	11156594	11156432	PASS
UN	95530878	95535333	95534151	PASS
LG1A	8143656	8151330	8149947	PASS
LG24	13871376	13882232	13871734	PASS
LG2	5278526	5315444	5283636	PASS
LG9	5052108	5087918	5061698	PASS
LG5	91265631	91266676	26336358	Not Valid
LG3	13220063	13227291	13220121	PASS
LG11	91265631	91266676	6349407	Not Valid
UN	91265631	91266676	94805678	Not Valid
UN	24827497	24829591	24829385	PASS
LG1B	15399292	15408148	15399312	PASS
LG7	8508004	8514688	8508535	PASS
UN	91265631	91266676	62570464	Not Valid
UN	16166231	16459472	16188089	PASS
LG14	91265631	91266676	744059	Not Valid
UN	64771681	64779273	64776260	PASS
LG20	91265631	91266676	27428651	Not Valid
LG19	91265631	91266676	1870655	Not Valid
LG5	91265631	91266676	11694136	Not Valid
LG11	7079896	7092040	7087774	PASS
UN	50363469	50440414	50367648	PASS
LG16	91265631	91266676	14222556	Not Valid
UN	31691549	31709636	31698630	PASS
LG1B	91265631	91266676	8744103	Not Valid
LG1B	12421028	12428183	12425873	PASS
LG17	4187643	4205622	4201196	PASS
UN	24716572	24723489	24717236	PASS
LG14	27601772	27617543	27612240	PASS
LG1A	14079000	14102276	14101833	PASS
LG1A	1474469	1709662	1576550	PASS
LG8	91265631	91266676	7098425	Not Valid
LG22-25	91265631	91266676	24536106	Not Valid
UN	91265631	91266676	94155193	Not Valid
UN	91265631	91266676	47345575	Not Valid
UN	91265631	91266676	85836513	Not Valid
UN	91265631	91266676	3036683	Not Valid
LG12	11457352	11469277	11458321	PASS
LG4	906343	1048586	926236	PASS
LG20	16302849	16310260	16304383	PASS
LG17	19310913	19313008	19312779	PASS
UN	72285782	72299695	72288083	PASS
LG2	15055414	15064867	15063944	PASS
LGx	5844700	5862680	5858908	PASS
LG4	91265631	91266676	22062925	Not Valid
LG19	20321726	20331085	20322513	PASS
LG1A	91265631	91266676	14773346	Not Valid
LG11	16418360	16467916	16446558	PASS
UN	91265631	91266676	40189158	Not Valid
LG19	91265631	91266676	14189750	Not Valid
LG18-21	91265631	91266676	8076852	Not Valid
LG13	23245821	23258661	23258534	PASS
LG20	11253790	11368803	11286622	PASS
UN	78833620	78837788	78837500	PASS
LG8	91265631	91266676	17914987	Not Valid
LG17	91265631	91266676	12730826	Not Valid
UN	91265631	91266676	71855616	Not Valid
LG8	91265631	91266676	22701511	Not Valid
LGx	17443494	17459231	17456606	PASS
LG7	91265631	91266676	4823465	Not Valid
LG12	91265631	91266676	18273993	Not Valid
LG19	91265631	91266676	4522647	Not Valid
LG4	91265631	91266676	21758859	Not Valid
UN	91265631	91266676	2295519	Not Valid
UN	38415818	38629962	38594211	PASS
LG6	91265631	91266676	7767079	Not Valid
LG4	18103576	18111046	18110821	PASS
UN	20145371	20148021	20145670	PASS
LGx	16219758	16297144	16244511	PASS
UN	91265631	91266676	27523287	Not Valid
UN	85955646	85964812	85955683	PASS
UN	88408427	88414672	88414585	PASS
LG13	91265631	91266676	9171478	Not Valid
LG12	91265631	91266676	11845713	Not Valid
LG3	4242310	4253552	4248185	PASS
UN	91265631	91266676	90373053	Not Valid
UN	53190906	53196321	53193342	PASS
UN	91265631	91266676	61067455	Not Valid
LG16	11483565	11489841	11488051	PASS
LG13	91265631	91266676	21593693	Not Valid
LG14	91265631	91266676	19403215	Not Valid
LG2	91265631	91266676	9277001	Not Valid
LG9	91265631	91266676	20185566	Not Valid
UN	91265631	91266676	87022427	Not Valid
LG7	9373047	9379968	9379901	PASS
LG1A	13276112	13284452	13276460	PASS
LG10	91265631	91266676	14246399	Not Valid
LG9	4972854	4977048	4975961	PASS
LG22-25	91265631	91266676	26296954	Not Valid
UN	91265631	91266676	77079711	Not Valid
LG7	24154788	24232788	24223387	PASS
LG7	26217689	26262401	26246253	PASS
LG22-25	91265631	91266676	15520362	Not Valid
LG6	91265631	91266676	7771195	Not Valid
UN	49887647	49892614	49892523	PASS
LG14	91265631	91266676	6459417	Not Valid
UN	91265631	91266676	67115703	Not Valid
LG1B	2503575	2518975	2503892	PASS
LG17	91265631	91266676	20034830	Not Valid
LG14	17905723	17915145	17906505	PASS
LG6	15039593	15046249	15045688	PASS
UN	23453334	23458758	23455234	PASS
LG13	8066063	8102366	8066706	PASS
LG2	3103524	3107132	3104494	PASS
UN	69373503	69408874	69408342	PASS
LG6	657203	669485	660249	PASS
UN	35059835	35062978	35062526	PASS
UN	91265631	91266676	49009251	Not Valid
UN	91265631	91266676	79576289	Not Valid
UN	91265631	91266676	45443984	Not Valid
LG16	91265631	91266676	11270288	Not Valid
LG9	91265631	91266676	16481429	Not Valid
LG17	91265631	91266676	16322550	Not Valid
LG6	91265631	91266676	25268572	Not Valid
LG12	18036027	18126130	18080019	PASS
LG11	91265631	91266676	15886443	Not Valid
LG19	91265631	91266676	14397826	Not Valid
LG2	91265631	91266676	25707288	Not Valid
UN	91265631	91266676	10892878	Not Valid
UN	25202473	25316316	25268878	PASS
LG20	5110909	5123878	5116523	PASS
LG16	91265631	91266676	16317839	Not Valid
LG1A	12399213	12403445	12399271	PASS
LG17	91265631	91266676	16801379	Not Valid
LG8	91265631	91266676	16206442	Not Valid
LG14	13759294	13764714	13761626	PASS
UN	91265631	91266676	42309599	Not Valid
LG13	15699376	15709577	15708308	PASS
LG5	91265631	91266676	26942067	Not Valid
LG7	91265631	91266676	24460704	Not Valid
LG4	12640795	12657570	12656627	PASS
LG24	91265631	91266676	11852323	Not Valid
LG19	91265631	91266676	12832654	Not Valid
LG14	91265631	91266676	14995915	Not Valid
LG14	91265631	91266676	7532116	Not Valid
LG19	14907589	14908242	14908217	PASS
LG22-25	91265631	91266676	22270971	Not Valid
UN	39252776	39258637	39258086	PASS
LG4	10277919	10295899	10277940	PASS
LG13	91265631	91266676	4721140	Not Valid
LG10	91265631	91266676	1150537	Not Valid
LG1B	4344704	4353581	4349144	PASS
UN	57388029	57628086	57588341	PASS
LG7	91265631	91266676	10839592	Not Valid
LG9	16811527	16830890	16830330	PASS
LG1B	17153061	17154708	17153419	PASS
LG20	91265631	91266676	16409932	Not Valid
UN	91265631	91266676	8805557	Not Valid
LG24	10438582	10441257	10438639	PASS
LG10	91265631	91266676	8982332	Not Valid
LG13	2374770	2530226	2523546	PASS
UN	91265631	91266676	58320216	Not Valid
LG1B	7844824	7855257	7854682	PASS
LG12	91265631	91266676	5127285	Not Valid
LG10	7967595	7988774	7982395	PASS
LG15	91265631	91266676	22776751	Not Valid
LG12	7086065	7090297	7089541	PASS
UN	20241294	20251142	20244638	PASS
LG4	91265631	91266676	400187	Not Valid
LG5	7541541	7596291	7550867	PASS
LG19	21106949	21111389	21106954	PASS
UN	62570492	62735682	62660710	PASS
LG16	12938473	13087773	12982882	PASS
LG8	91265631	91266676	19775613	Not Valid
LG24	91265631	91266676	11192986	Not Valid
LG15	91265631	91266676	23042095	Not Valid
UN	91265631	91266676	64830940	Not Valid
UN	33066784	33294941	33208325	PASS
LG1A	16479276	16487748	16484426	PASS
LGx	91265631	91266676	7452658	Not Valid
LG24	91265631	91266676	998252	Not Valid
LG11	91265631	91266676	1750246	Not Valid
LG15	17451265	17491970	17468038	PASS
UN	91265631	91266676	21296234	Not Valid
UN	91265631	91266676	6794686	Not Valid
LG12	10867430	10879884	10874789	PASS
UN	91265631	91266676	8986433	Not Valid
LG7	91265631	91266676	1981053	Not Valid
LG1B	91265631	91266676	5023699	Not Valid
LG1A	91265631	91266676	14118372	Not Valid
UN	91265631	91266676	48169254	Not Valid
LG5	25062994	25284752	25159500	PASS
LG4	91265631	91266676	9415191	Not Valid
LG22-25	20341066	20355780	20352348	PASS
LGx	728092	732338	728123	PASS
LG14	91265631	91266676	3682122	Not Valid
LG16	12309678	12317359	12315321	PASS
LG9	91265631	91266676	16776629	Not Valid
LG3	91265631	91266676	7418669	Not Valid
LG2	91265631	91266676	4480922	Not Valid
LG19	2816992	3060195	2856091	PASS
UN	91265631	91266676	11211964	Not Valid
LG11	91265631	91266676	16814942	Not Valid
LG6	91265631	91266676	614614	Not Valid
LG11	13593457	13622104	13622049	PASS
LG19	5343391	5351297	5344107	PASS
UN	91265631	91266676	39194833	Not Valid
LG9	12522815	12535290	12534834	PASS
LG14	91265631	91266676	3495146	Not Valid
UN	91265631	91266676	30515979	Not Valid
LG4	91265631	91266676	7596888	Not Valid
LG5	22550699	22572586	22555247	PASS
LG17	91265631	91266676	22046758	Not Valid
LG20	91265631	91266676	9042160	Not Valid
LG15	91265631	91266676	20633883	Not Valid
LG13	91265631	91266676	6364915	Not Valid
LG12	9306641	9312347	9311992	PASS
LG15	18072798	18114981	18072848	PASS
LG9	91265631	91266676	10290620	Not Valid
LG16	12888815	12899953	12892191	PASS
LG19	91265631	91266676	19636124	Not Valid
LG24	91265631	91266676	10091138	Not Valid
LG7	25400216	25410043	25409355	PASS
LG3	91265631	91266676	6489975	Not Valid
LG4	11621442	11641463	11641313	PASS
LG12	13095972	13103216	13096421	PASS
UN	91265631	91266676	83920823	Not Valid
UN	50086040	50087101	50086834	PASS
LG22-25	24915788	24923459	24923169	PASS
LG4	16602460	16619024	16602662	PASS
LG5	91265631	91266676	15290099	Not Valid
UN	91265631	91266676	51754101	Not Valid
LG5	21839387	21897795	21867213	PASS
UN	91265631	91266676	66431919	Not Valid
LG7	91265631	91266676	17183298	Not Valid
LG6	11773320	11782840	11774536	PASS
UN	60572136	60580229	60572553	PASS
LG9	4972854	4977048	4973022	PASS
LG9	91265631	91266676	20365911	Not Valid
LG19	22894549	22937536	22936633	PASS
LG13	91265631	91266676	21649245	Not Valid
UN	91265631	91266676	37427046	Not Valid
LG18-21	5167240	5263069	5258141	PASS
LG1A	91265631	91266676	10769434	Not Valid
LG11	91265631	91266676	23757749	Not Valid
LGx	91265631	91266676	8047840	Not Valid
UN	91265631	91266676	54457325	Not Valid
UN	15162283	15174375	15164098	PASS
LG1A	91265631	91266676	14474861	Not Valid
LG18-21	91265631	91266676	6411950	Not Valid
LG5	10955797	10960718	10960427	PASS
LG1B	91265631	91266676	3172490	Not Valid
UN	18925140	18928698	18925931	PASS
UN	34982356	34988318	34985617	PASS
LGx	91265631	91266676	7604329	Not Valid
LG8	91265631	91266676	15251663	Not Valid
UN	65101098	65103319	65101106	PASS
LG14	14488575	14509957	14498056	PASS
LG5	91265631	91266676	29870826	Not Valid
LG8	91265631	91266676	13469374	Not Valid
LG7	91265631	91266676	11760141	Not Valid
LG13	91265631	91266676	12375144	Not Valid
LG16	91265631	91266676	16796648	Not Valid
LG17	91265631	91266676	4386329	Not Valid
LG1A	11464775	11471591	11468342	PASS
LG12	1995410	2032507	1995717	PASS
LG20	91265631	91266676	14459769	Not Valid
LG16	91265631	91266676	9375389	Not Valid
LG11	91265631	91266676	9288187	Not Valid
LG4	91265631	91266676	19521457	Not Valid
LG14	91265631	91266676	9238052	Not Valid
UN	87254818	87270184	87257962	PASS
LG16	3089430	3114138	3101736	PASS
LG14	91265631	91266676	14907729	Not Valid
UN	69630945	69731844	69663420	PASS
LG7	91265631	91266676	16082086	Not Valid
LG5	91265631	91266676	29110863	Not Valid
UN	47545349	47575487	47545893	PASS
UN	91265631	91266676	41409839	Not Valid
LG10	15150257	15158120	15154941	PASS
UN	44698787	44702449	44699347	PASS
LG16	8671633	8679644	8672903	PASS
LG7	91265631	91266676	18142860	Not Valid
LG15	91265631	91266676	568440	Not Valid
LG18-21	91265631	91266676	11202065	Not Valid
LG16	3184742	3204399	3190721	PASS
LG2	24994600	25000968	24994603	PASS
LG7	91265631	91266676	21483789	Not Valid
LG5	91265631	91266676	12806873	Not Valid
LG14	91265631	91266676	3542432	Not Valid
LG15	13875681	13922100	13884091	PASS
UN	91265631	91266676	94282286	Not Valid
UN	91265631	91266676	37589217	Not Valid
LG13	91265631	91266676	20993703	Not Valid
LG12	15893446	15930886	15898626	PASS
UN	91265631	91266676	28388738	Not Valid
LG6	91265631	91266676	17238195	Not Valid
LG4	91265631	91266676	18763850	Not Valid
LGx	91265631	91266676	190894	Not Valid
LG7	5398061	5436862	5416562	PASS
LG22-25	91265631	91266676	24398010	Not Valid
UN	32701576	32702886	32702288	PASS
UN	89889000	89897623	89889169	PASS
UN	18986088	18991382	18991219	PASS
UN	33066784	33294941	33169980	PASS
LG6	91265631	91266676	16306980	Not Valid
UN	91265631	91266676	51126365	Not Valid
LG7	28461550	28466818	28466489	PASS
UN	11323058	11340331	11323193	PASS
LG16	91265631	91266676	11481650	Not Valid
UN	91265631	91266676	68737161	Not Valid
LG7	14495171	14500470	14496834	PASS
LG19	91265631	91266676	5735141	Not Valid
LG15	91265631	91266676	25257889	Not Valid
UN	91265631	91266676	69198070	Not Valid
LG13	1270888	1277290	1274911	PASS
LGx	91265631	91266676	7732105	Not Valid
LG24	91265631	91266676	2361062	Not Valid
LGx	604773	614609	614205	PASS
LG7	5398061	5436862	5436741	PASS
LG17	91265631	91266676	14933483	Not Valid
LG14	91265631	91266676	19429661	Not Valid
LG5	29504317	29525959	29513929	PASS
LG15	6503556	6509820	6504245	PASS
UN	91265631	91266676	816427	Not Valid
LG2	91265631	91266676	4460859	Not Valid
LG13	91265631	91266676	27281551	Not Valid
LG1A	91265631	91266676	9872772	Not Valid
UN	91265631	91266676	30804680	Not Valid
UN	91265631	91266676	69984703	Not Valid
UN	81388823	81391384	81388839	PASS
LG22-25	91265631	91266676	11304275	Not Valid
LG22-25	2557276	2571211	2570974	PASS
LG7	91265631	91266676	15253758	Not Valid
LGx	91265631	91266676	7601459	Not Valid
LG1A	1290306	1390566	1300301	PASS
LG17	91265631	91266676	13917851	Not Valid
UN	30042867	30050291	30043176	PASS
LG6	91265631	91266676	2146399	Not Valid
LG8	91265631	91266676	18525719	Not Valid
LG17	91265631	91266676	17029615	Not Valid
LG19	22157169	22162362	22158662	PASS
LG1B	91265631	91266676	10389367	Not Valid
LG1A	91265631	91266676	17006907	Not Valid
LG9	8393294	8460195	8456393	PASS
LG24	91265631	91266676	13165633	Not Valid
UN	91265631	91266676	73689390	Not Valid
UN	74919036	74947936	74935547	PASS
LG7	91265631	91266676	21528504	Not Valid
LG6	91265631	91266676	13561521	Not Valid
UN	11036137	11038230	11037876	PASS
UN	39309501	39322984	39309605	PASS
LG4	15199206	15449009	15387851	PASS
LG4	91265631	91266676	13147744	Not Valid
LG20	11458295	11504116	11458337	PASS
LG17	705450	718352	708310	PASS
LG15	91265631	91266676	560216	Not Valid
UN	91265631	91266676	43322199	Not Valid
LG8	91265631	91266676	6161365	Not Valid
LG8	10598701	10604287	10598915	PASS
UN	91265631	91266676	30933965	Not Valid
LG17	22786520	22789853	22787047	PASS
LG14	91265631	91266676	15074587	Not Valid
UN	91265631	91266676	54830330	Not Valid
LG15	3419537	3434470	3422987	PASS
UN	92687649	92701740	92692450	PASS
UN	34795948	34796683	34795973	PASS
UN	91265631	91266676	71874249	Not Valid
LG3	91265631	91266676	1443107	Not Valid
LG7	91265631	91266676	27092737	Not Valid
LG16	91265631	91266676	2177204	Not Valid
LG5	12783954	12806828	12794969	PASS
LG2	91265631	91266676	4703571	Not Valid
LG12	91265631	91266676	16864751	Not Valid
LG9	91265631	91266676	19581095	Not Valid
LG5	91265631	91266676	20016783	Not Valid
UN	91265631	91266676	67288219	Not Valid
UN	72924457	72928539	72927809	PASS
UN	91265631	91266676	82778969	Not Valid
LG14	91265631	91266676	28163693	Not Valid
LG20	91265631	91266676	4730768	Not Valid
LG8	21677189	21697106	21695171	PASS
LG6	9378308	9395915	9393194	PASS
UN	91265631	91266676	30213346	Not Valid
UN	31184029	31186447	31184168	PASS
LG8	91265631	91266676	5337666	Not Valid
LG20	8259706	8285807	8259986	PASS
UN	91265631	91266676	43125276	Not Valid
LG20	91265631	91266676	20477121	Not Valid
LG20	91265631	91266676	3572836	Not Valid
LG20	91265631	91266676	27500542	Not Valid
LG2	12708690	12713523	12713506	PASS
UN	91265631	91266676	73732303	Not Valid
LG8	21592676	21644565	21618109	PASS
LG5	9421740	9426669	9426064	PASS
LG11	91265631	91266676	14169479	Not Valid
LG24	13410654	13432462	13420272	PASS
LG9	91265631	91266676	20844617	Not Valid
LG20	91265631	91266676	3868228	Not Valid
UN	65126823	65128919	65127428	PASS
LG22-25	9162798	9167791	9167160	PASS
LG12	7602276	7625955	7602902	PASS
LG5	91265631	91266676	12404571	Not Valid
UN	91265631	91266676	60018666	Not Valid
LG9	1919682	1924245	1919683	PASS
LG4	91265631	91266676	4442638	Not Valid
LG6	10836298	10844161	10839323	PASS
LG3	1947375	1962211	1961275	PASS
UN	47234700	47239646	47239444	PASS
UN	91265631	91266676	55081882	Not Valid
LG15	6272521	6472054	6424270	PASS
UN	75902259	75910445	75902388	PASS
LG5	91265631	91266676	23503583	Not Valid
LG7	10896540	10903384	10896776	PASS
UN	91265631	91266676	61481936	Not Valid
LG8	91265631	91266676	3035367	Not Valid
LG9	91265631	91266676	14207610	Not Valid
LGx	17335049	17357886	17335081	PASS
UN	9671084	9685860	9683439	PASS
LG1A	91265631	91266676	16189102	Not Valid
UN	91265631	91266676	43587963	Not Valid
LG16	13939117	13951187	13941996	PASS
LG17	91265631	91266676	16816771	Not Valid
UN	39059431	39061211	39059986	PASS
LG1A	12406210	12417193	12406240	PASS
LG5	30108982	30135691	30135183	PASS
LG3	12215983	12220961	12220884	PASS
LG19	91265631	91266676	15202502	Not Valid
UN	37106320	37362306	37350558	PASS
UN	91265631	91266676	3678896	Not Valid
LG14	91265631	91266676	4189495	Not Valid
LG20	2549097	2559094	2556711	PASS
